Time,U_b
3.0,1.911333
3.005,1.450933
3.0100000000000002,0.2746667
3.015,-1.026933
3.02,-2.094133
3.025,-2.746533
3.0300000000000002,-2.9736
3.035,-2.870667
3.04,-2.5768
3.045,-2.253067
3.0500000000000003,-1.99
3.055,-1.8316
3.06,-1.782933
3.065,-1.812667
3.07,-1.879067
3.075,-1.963733
3.08,-2.025467
3.085,-2.062667
3.09,-2.075733
3.095,-2.065467
3.1,-2.050667
3.105,-2.021467
3.11,-2.019733
3.115,-2.004267
3.12,-2.0048
3.125,-2.014
3.13,-2.016267
3.1350000000000002,-2.007733
3.14,-2.018533
3.145,-2.010533
3.15,-2.0152
3.155,-2.025467
3.16,-2.014
3.1650000000000005,-2.024267
3.17,-2.0128
3.175,-2.018
3.18,-2.018533
3.185,-2.009467
3.19,-2.0152
3.195,-2.017467
3.2,-2.025467
3.205,-2.016933
3.21,-2.017467
3.215,-2.015733
3.22,-2.016267
3.225,-2.015733
3.2300000000000004,-2.019733
3.235,-2.0072
3.2399999999999998,-2.016267
3.245,-2.023733
3.2500000000000004,-2.019733
3.255,-2.007733
3.26,-2.016267
3.265,-2.012267
3.27,-2.010533
3.2750000000000004,-2.020267
3.28,-2.0072
3.285,-2.0272
3.29,-2.010533
3.2950000000000004,-2.008267
3.3,-2.018533
3.305,-2.015733
3.31,-2.017467
3.3150000000000004,-2.018533
3.32,-2.002533
3.3249999999999997,-2.017467
3.33,-2.0128
3.3350000000000004,-2.019733
3.3400000000000003,-2.009467
3.3449999999999998,-2.010533
3.35,-2.026533
3.355,-2.0272
3.3600000000000003,-2.020933
3.3649999999999998,-2.025467
3.37,-2.020933
3.375,-2.021467
3.3800000000000003,-2.018533
3.385,-2.0272
3.3899999999999997,-2.017467
3.395,-2.029467
3.4000000000000004,-2.014
3.4050000000000002,-2.0152
3.4099999999999997,-2.025467
3.415,-2.015733
3.4200000000000004,-2.018533
3.4250000000000003,-2.020933
3.4299999999999997,-2.018533
3.435,-2.021467
3.44,-2.020933
3.4450000000000003,-2.019733
3.4499999999999997,-2.0232
3.455,-2.016267
3.46,-2.018533
3.4650000000000003,-2.009467
3.47,-2.018533
3.4749999999999996,-2.01
3.48,-2.018533
3.4850000000000003,-2.0192
3.49,-2.022
3.4949999999999997,-2.026
3.5,-2.018533
