Freq(Hz),Gain(dB),Phase
200.000000,-0.187631,-10.058453
209.425709,-0.348025,-11.020669
219.295639,-0.398466,-11.429296
229.630724,-0.228581,-12.703991
240.452886,-0.257014,-12.451975
251.785082,-0.367092,-13.832313
263.651347,-0.294544,-16.194052
276.076852,-0.149766,-15.915381
289.087954,-0.164552,-15.033272
302.712249,-0.309930,-15.558322
316.978638,-0.353697,-17.032915
331.917381,-0.406150,-17.059946
347.560165,-0.572135,-17.964813
363.940171,-0.506426,-20.540371
381.092143,-0.402784,-20.208378
399.052462,-0.555897,-20.004631
417.859226,-0.622062,-21.434534
437.552324,-0.774890,-21.566216
458.173530,-0.837685,-24.088535
479.766583,-0.739442,-24.622215
502.377286,-0.969603,-26.027758
526.053598,-0.848160,-29.104416
550.845740,-0.684732,-28.938351
576.806300,-0.843804,-27.114727
603.990344,-1.159950,-27.788908
632.455532,-1.226276,-30.626534
662.262242,-1.143673,-30.742165
693.473700,-1.573673,-31.901402
726.156109,-1.516348,-35.314472
760.378792,-1.513345,-34.637138
796.214341,-1.883313,-34.469002
833.738766,-2.019132,-36.890671
873.031664,-2.341047,-37.015678
914.176379,-2.421674,-40.412392
957.260184,-2.378113,-40.131527
1002.374467,-2.799428,-42.062981
1049.614920,-2.653207,-45.681618
1099.081747,-2.562324,-45.270729
1150.879874,-3.012424,-42.942902
1205.119172,-3.512317,-44.610718
1261.914688,-3.540740,-47.520309
1321.386896,-3.873965,-46.954956
1383.661941,-4.444042,-48.166573
1448.871920,-4.325970,-51.927345
1517.155150,-4.471051,-50.873867
1588.656469,-5.090595,-50.351959
1663.527542,-5.245417,-53.067604
1741.927179,-5.779845,-52.532570
1824.021678,-5.980361,-56.353184
1909.985172,-6.041450,-55.042938
2000.000000,-6.661064,-55.804211
2094.257096,-6.943931,-57.078064
2192.956392,-7.483130,-59.001968
2296.307242,-7.561958,-60.075905
2404.528869,-8.110489,-60.652702
2517.850823,-8.471117,-62.743797
2636.513477,-8.220154,-64.599129
2760.768529,-8.439411,-62.295864
2890.879541,-9.360058,-59.542080
3027.122496,-9.992409,-61.968292
3169.786384,-10.088249,-64.019821
3319.173814,-10.741264,-63.085697
3475.601657,-11.434803,-64.317139
3639.401717,-11.322803,-66.764908
3810.921435,-11.801089,-63.795326
3990.524629,-12.708139,-64.006973
4178.592261,-13.067719,-65.437103
4375.523247,-13.898316,-64.854980
4581.735305,-14.078762,-67.035919
4797.665838,-14.474408,-64.391960
5023.772863,-15.234463,-66.140320
5260.535983,-15.255891,-67.446320
5508.457406,-15.690310,-64.376167
5768.063006,-16.849663,-60.111614
6039.903440,-17.842524,-60.872101
6324.555320,-18.447702,-61.231094
6622.622429,-19.331078,-58.959389
6934.737009,-20.395042,-57.942032
7261.561095,-20.911522,-57.619961
7603.787926,-21.500195,-52.500832
7962.143411,-22.802603,-46.666847
8337.387669,-24.081551,-43.219582
8730.316644,-25.385900,-38.911617
9141.763792,-26.223637,-33.926311
9572.601846,-26.667343,-23.840092
10023.744672,-27.647133,-14.441275
10496.149204,-27.826279,10.964797
10990.817477,-27.558167,16.133478
11508.798746,-27.087448,24.261002
12051.191721,-26.022537,33.426125
12619.146889,-24.719513,43.583332
13213.868960,-24.244259,51.330566
13836.619418,-23.670502,54.067223
14488.719201,-22.297279,56.635300
15171.551500,-21.502388,59.749107
15886.564694,-20.635052,60.882069
16635.275422,-19.202492,64.469711
17419.271799,-18.960266,66.991043
18240.216787,-18.174459,66.345108
19099.851720,-17.513565,66.905655
20000.000000,-16.775932,66.162903
20942.570961,-15.950960,69.073425
21929.563922,-15.643696,68.785278
22963.072429,-14.952608,69.526443
24045.288692,-14.319941,68.185684
25178.508235,-13.798479,67.875854
26365.134771,-12.713403,69.146225
27607.685292,-12.348944,71.071548
28908.795414,-12.488634,69.958206
30271.224968,-11.754168,67.759171
31697.863849,-10.820227,68.608818
33191.738148,-10.865520,70.160202
34756.016574,-10.662083,67.566559
36394.017172,-9.756008,66.954132
38109.214359,-9.617681,67.106392
39905.246299,-9.210463,64.965538
41785.922617,-8.462672,65.976730
43755.232478,-8.583824,64.800659
45817.353055,-7.944798,62.698357
47976.658380,-7.702020,62.403893
50237.728630,-7.331812,60.374741
52605.359837,-6.446962,60.980141
55084.574066,-6.300884,62.131397
57680.630062,-6.503518,59.828056
60399.034408,-5.971656,57.997452
63245.553203,-5.270919,58.239235
66226.224296,-5.413987,57.303394
69347.370090,-5.273782,53.925850
72615.610954,-4.562425,53.142914
76037.879264,-4.532700,52.807320
79621.434110,-4.292085,49.878147
83373.876694,-3.790647,50.536896
87303.166448,-3.909476,48.093742
91417.637922,-3.437482,45.844017
